,City,Cloudiness,Country,Date,Humidity,Latitude,Max Temp,Wind Speed,longitude
0,bac lieu,56,VN,1674492867,83,9.285,77.29,14.56,105.7244
1,hobart,32,AU,1674492867,93,-42.8794,60.26,1.14,147.3294
2,chokurdakh,100,RU,1674492867,93,70.6333,-24.97,6.11,147.9167
3,matay,0,EG,1674492390,50,28.419,63.48,10.6,30.7792
4,jamestown,100,US,1674492510,75,42.097,29.79,10.36,-79.2353
5,ushuaia,75,AR,1674492510,58,-54.8,58.66,11.5,-68.3
6,georgetown,20,MY,1674492438,94,5.4112,78.73,2.3,100.3354
7,rikitea,13,PF,1674492510,78,-23.1203,78.8,16.64,-134.9692
8,concarneau,64,FR,1674492510,79,47.875,41.79,11.56,-3.9225
9,tuktoyaktuk,100,CA,1674492511,84,69.4541,-5.8,13.8,-133.0374
10,quelimane,75,MZ,1674492511,83,-17.8786,84.15,9.22,36.8883
11,hithadhoo,57,MV,1674492511,76,-0.6,80.04,7.72,73.0833
12,punta arenas,75,CL,1674492511,63,-53.15,62.62,19.57,-70.9167
13,cape town,40,ZA,1674492296,43,-33.9258,77.09,14.97,18.4232
14,tautira,100,PF,1674492511,84,-17.7333,75.07,3.58,-149.15
15,terra santa,98,BR,1674492511,55,-2.1042,88.03,5.08,-56.4869
16,ostrovnoy,100,RU,1674492511,85,68.0531,21.63,31.94,39.5131
17,busselton,0,AU,1674492511,75,-33.65,66.16,16.46,115.3333
18,ust-nera,100,RU,1674492512,99,64.5667,-22.2,3.02,143.2
19,albany,100,US,1674492512,93,42.6001,33.26,6.38,-73.9662
20,sanmenxia,7,CN,1674492512,26,34.7747,20.43,12.44,111.1814
21,simplicio mendes,79,BR,1674492512,42,-7.8539,91.36,0.56,-41.9103
22,severo-kurilsk,81,RU,1674492512,71,50.6789,20.57,33.13,156.125
23,yellowknife,100,CA,1674492513,85,62.456,5.52,14.97,-114.3525
24,klaksvik,100,FO,1674492869,98,62.2266,43.72,10.49,-6.589
25,geraldton,100,AU,1674492869,83,-28.7667,72.01,11.5,114.6
26,solvychegodsk,88,RU,1674492869,98,61.3305,7.02,4.34,46.9156
27,porto novo,25,BJ,1674492655,67,6.4965,87.62,11.56,2.6036
28,garissa,99,KE,1674492869,53,-0.4536,84.09,16.51,39.6401
29,vaini,20,TO,1674492870,100,-21.2,73.56,0.0,-175.2
30,vao,96,NC,1674492870,87,-22.6667,78.57,9.55,167.4833
31,presidencia roque saenz pena,0,AR,1674492870,16,-26.7852,103.05,4.41,-60.4388
32,carbonia,73,IT,1674492870,85,39.1672,52.75,7.45,8.5222
33,saint-philippe,100,RE,1674492871,88,-21.3585,74.79,11.74,55.7679
34,tshikapa,85,CD,1674492745,74,-6.4167,77.76,1.41,20.8
35,east london,0,ZA,1674492871,74,-33.0153,83.34,13.8,27.9116
36,grindavik,0,IS,1674492871,80,63.8424,30.67,3.44,-22.4338
37,sobolevo,99,RU,1674492871,90,54.4299,31.95,2.86,31.8996
38,victoria,100,HK,1674492871,83,22.2855,67.24,23.0,114.1577
39,bredasdorp,25,ZA,1674492872,66,-34.5322,71.15,16.49,20.0403
40,husavik,96,IS,1674492872,66,66.0449,22.05,14.32,-17.3389
41,kangaatsiaq,100,GL,1674492872,93,68.3065,3.2,6.53,-53.4641
42,ponta do sol,16,PT,1674492872,55,32.6667,66.13,5.17,-17.1
43,kimbe,86,PG,1674492873,93,-5.5502,75.36,3.56,150.1429
44,sao filipe,16,CV,1674492873,67,14.8961,70.48,9.91,-24.4956
45,taltal,4,CL,1674492873,70,-25.4,72.25,7.83,-70.4833
46,sulangan,100,PH,1674492873,85,11.1373,78.44,14.2,123.7228
47,hilo,0,US,1674492873,75,19.7297,74.28,4.0,-155.09
48,ust-kuyga,99,RU,1674492873,100,70.0167,-54.98,3.36,135.6
49,loandjili,40,CG,1674492874,79,-4.7561,84.31,6.91,11.8578
50,arlit,0,NE,1674492875,9,18.7369,82.65,6.2,7.3853
51,ornskoldsvik,0,SE,1674492601,100,63.2909,16.75,1.14,18.7153
52,clyde river,100,CA,1674492875,69,70.4692,-23.57,13.8,-68.5914
53,khatanga,29,RU,1674492648,97,71.9667,-46.14,4.36,102.5
54,san cristobal,95,VE,1674492876,64,7.7669,71.78,6.8,-72.225
55,mataura,55,NZ,1674492876,96,-46.1927,40.87,1.68,168.8643
56,taywarah,5,AF,1674492876,88,33.35,2.93,4.21,64.4167
57,sattahip,4,TH,1674492876,83,12.6664,82.98,5.75,100.9007
58,mersing,20,MY,1674492876,83,2.4312,80.51,9.22,103.8405
59,nanortalik,100,GL,1674492877,63,60.1432,28.26,5.66,-45.2371
60,amapa,86,BR,1674492877,84,1.0,80.6,5.19,-52.0
61,new norfolk,44,AU,1674492877,90,-42.7826,59.92,2.59,147.0587
